,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Goma,CD,64.09,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
488,Dve Mogili,BG,59.94,scattered clouds,43.6,25.8667,Къщата с липите
492,Atambua,ID,74.46,overcast clouds,-9.1061,124.8925,Ros Muskanan
495,Faya,SA,64.51,clear sky,18.3851,42.4509,شيلة نسايم
497,Rusape,ZW,60.24,clear sky,-18.5278,32.1284,Surrey Lodge
501,Hastings,GB,57.52,clear sky,50.8552,0.5729,Zanzibar Hotel
504,Kapit,MY,73.89,light rain,2.0167,112.9333,Hotel Meligai Kapit
505,Chaplynka,UA,54.86,clear sky,46.3651,33.5403,Білий Дім
506,Gambela,ET,70.61,few clouds,8.25,34.5833,Solomon Debebe Hotel
508,Oudtshoorn,ZA,63.5,clear sky,-33.5907,22.2014,Earthbound Guest House
509,Shakiso,ET,62.06,overcast clouds,5.75,38.9167,DH international Hotel
511,Hokitika,NZ,48.52,few clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
512,Las Palmas,ES,70.59,few clouds,28.4204,-14.0131,Casillas De Morales 59.
513,Karratha,AU,72.03,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
516,Asheville,US,63.95,overcast clouds,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
517,Stokmarknes,NO,48.16,broken clouds,68.5646,14.9108,Vesterålen Kysthotell
518,Buchanan,LR,76.23,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
519,Smederevska Palanka,RS,57.7,few clouds,44.3655,20.9589,Božić 2018
521,Sandnessjoen,NO,51.91,broken clouds,66.0217,12.6316,Syv Søstre Apartments
522,Saurimo,AO,66.54,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
523,Zheleznodorozhnyy,RU,53.78,light rain,55.7503,38.0042,Hotel Dali
524,Bonga,ET,59.59,broken clouds,7.2833,36.2333,Abelena bare and restorant
525,Quesnel,CA,61.3,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
527,Saint-Francois,FR,63.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
530,Cardinal,CA,58.01,clear sky,44.7834,-75.3826,Johnstown Motel
531,Grand Gaube,MU,72.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
532,Amalapuram,IN,76.15,overcast clouds,16.5833,82.0167,swayamprabha service apartments
533,Nelson Bay,AU,54.0,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
534,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
536,Angoche,MZ,75.58,clear sky,-16.2325,39.9086,Guest House HESADA
538,Fort Thomas,US,72.03,few clouds,39.0751,-84.4472,"Holiday Inn Express & Suites Cincinnati SE Newport, an IHG Hotel"
540,Mayo,US,58.17,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
543,Calvinia,ZA,59.14,clear sky,-31.4707,19.776,Die Lemoenhuis
544,Price,US,54.66,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
545,Rio Gallegos,AR,57.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
546,Krasnyye Baki,RU,54.12,overcast clouds,57.131,45.1599,"Gostinyy Dom ""Povetluzh'ye"""
551,Aguimes,ES,72.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
554,Prince George,CA,65.25,overcast clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
