,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Cabo San Lucas,MX,22.8909,-109.9124,95.61,48,20,9.22,few clouds
165,Kieta,PG,-6.2167,155.6333,78.13,82,70,3.42,broken clouds
166,Dubbo,AU,-32.25,148.6167,42.93,93,6,10.36,clear sky
167,Pampa,US,35.5362,-100.9599,84.56,21,0,0.0,clear sky
168,Lorengau,PG,-2.0226,147.2712,80.82,77,42,5.14,scattered clouds
169,Montepuez,MZ,-13.1256,38.9997,71.94,62,0,7.61,clear sky
170,Markala,ML,13.7021,-6.0659,81.97,67,99,6.8,light rain
171,Vestmanna,FO,62.1564,-7.1664,49.12,81,75,24.16,broken clouds
172,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,62,0,20.71,clear sky
173,Vallenar,CL,-28.5708,-70.7581,83.98,16,2,8.05,clear sky
174,Namatanai,PG,-3.6667,152.4333,78.31,76,7,6.85,clear sky
175,Lake City,US,30.1897,-82.6393,84.85,36,0,12.66,clear sky
176,Washington,US,47.5001,-120.5015,83.19,28,0,4.45,clear sky
177,Inta,RU,66.0317,60.1659,40.5,88,100,5.39,overcast clouds
178,Bandarbeyla,SO,9.4942,50.8122,77.02,83,100,25.37,overcast clouds
179,Saint George,US,37.1041,-113.5841,84.43,50,0,13.8,clear sky
180,Bilma,NE,18.6853,12.9164,93.7,11,0,9.33,clear sky
181,Khatanga,RU,71.9667,102.5,21.85,96,100,9.89,overcast clouds
182,Kintinku,TZ,-5.8833,35.2333,77.29,33,91,11.9,overcast clouds
183,Necochea,AR,-38.5473,-58.7368,53.46,60,96,13.76,overcast clouds
184,Sitka,US,57.0531,-135.33,49.89,81,0,0.0,clear sky
185,Hualmay,PE,-11.0964,-77.6139,67.3,72,42,9.6,scattered clouds
186,Hachinohe,JP,40.5,141.5,60.71,94,100,5.61,overcast clouds
187,Cabedelo,BR,-6.9811,-34.8339,79.47,71,37,14.36,scattered clouds
188,Waipawa,NZ,-41.4122,175.5153,48.61,97,100,4.27,overcast clouds
189,Mount Gambier,AU,-37.8333,140.7667,47.89,91,100,3.33,overcast clouds
190,Saint-Joseph,RE,-21.3667,55.6167,66.58,74,18,11.32,few clouds
191,Maneadero,MX,31.7167,-116.5667,74.1,72,10,4.0,clear sky
192,Oistins,BB,13.0667,-59.5333,84.29,79,75,19.57,broken clouds
193,Yamethin,MM,20.4333,96.15,73.96,95,100,5.35,light rain
